"PointID","x","y","Density","Momentum_x","Momentum_y","Energy","Pressure","Temperature","Mach","Pressure_Coefficient","Laminar_Viscosity","Skin_Friction_Coefficient_x","Skin_Friction_Coefficient_y","Heat_Flux","Y_Plus"
726, 0.000000000000000e+00, 6.875000000000000e-01, 1.172546840207921e+01, 0.000000000000000e+00, 0.000000000000000e+00, 2.413443122162263e+06, 9.653772488649049e+05, 2.868698868659191e+02, 0.000000000000000e+00, -9.994848139332426e-01, 1.000000000000000e+01, 0.000000000000000e+00, 2.983141079813269e-16, 5.019011165594844e+05, 1.524664032650023e-08
758, 1.000000000000000e+00, 6.875000000000000e-01, 1.178666725683656e+01, 0.000000000000000e+00, 0.000000000000000e+00, 2.431136658140860e+06, 9.724546632563437e+05, 2.874725909011324e+02, 0.000000000000000e+00, 4.050803005734256e-02, 1.000000000000000e+01, 0.000000000000000e+00, 3.252231973597756e-16, 3.692050559447307e+05, 1.596093863481265e-08
759, 0.000000000000000e+00, 7.187500000000000e-01, 1.172546840207921e+01, 0.000000000000000e+00, 0.000000000000000e+00, 2.413443122162263e+06, 9.653772488649049e+05, 2.868698868659191e+02, 0.000000000000000e+00, -9.994848139332426e-01, 1.000000000000000e+01, 0.000000000000000e+00, -1.702316640280251e-14, 5.019011165595351e+05, 1.151747905507081e-07
791, 1.000000000000000e+00, 7.187500000000000e-01, 1.178666725683656e+01, 0.000000000000000e+00, 0.000000000000000e+00, 2.431136658140860e+06, 9.724546632563437e+05, 2.874725909011324e+02, 0.000000000000000e+00, 4.050803005734256e-02, 1.000000000000000e+01, 0.000000000000000e+00, -1.474944737424242e-14, 3.692050559447561e+05, 1.074869017106283e-07
792, 0.000000000000000e+00, 7.500000000000000e-01, 1.172546840207921e+01, 0.000000000000000e+00, 0.000000000000000e+00, 2.413443122162263e+06, 9.653772488649049e+05, 2.868698868659191e+02, 0.000000000000000e+00, -9.994848139332426e-01, 1.000000000000000e+01, 0.000000000000000e+00, -4.767006989600697e-13, 5.019011165610324e+05, 6.094809745209090e-07
824, 1.000000000000000e+00, 7.500000000000000e-01, 1.178666725683655e+01, 0.000000000000000e+00, 0.000000000000000e+00, 2.431136658140860e+06, 9.724546632563437e+05, 2.874725909011324e+02, 0.000000000000000e+00, 4.050803005734256e-02, 1.000000000000000e+01, 0.000000000000000e+00, -4.572544710358115e-13, 3.692050559461518e+05, 5.984758781168381e-07
825, 0.000000000000000e+00, 7.812500000000000e-01, 1.172546840207920e+01, 0.000000000000000e+00, 0.000000000000000e+00, 2.413443122162260e+06, 9.653772488649036e+05, 2.868698868659189e+02, 0.000000000000000e+00, -9.994848139334308e-01, 1.000000000000000e+01, 0.000000000000000e+00, 1.609124556926293e-11, 5.019011165073591e+05, 3.541050254261632e-06
857, 1.000000000000000e+00, 7.812500000000000e-01, 1.178666725683665e+01, 0.000000000000000e+00, 0.000000000000000e+00, 2.431136658140889e+06, 9.724546632563556e+05, 2.874725909011335e+02, 0.000000000000000e+00, 4.050803005908744e-02, 1.000000000000000e+01, 0.000000000000000e+00, 1.280301572452507e-11, 3.692050559027057e+05, 3.166823140357957e-06
858, 0.000000000000000e+00, 8.125000000000000e-01, 1.172546840207992e+01, 0.000000000000000e+00, 0.000000000000000e+00, 2.413443122162481e+06, 9.653772488649924e+05, 2.868698868659276e+02, 0.000000000000000e+00, -9.994848139203785e-01, 1.000000000000000e+01, 0.000000000000000e+00, 4.736589973273823e-10, 5.019011150499081e+05, 1.921189279640713e-05
890, 1.000000000000000e+00, 8.125000000000000e-01, 1.178666725685144e+01, 0.000000000000000e+00, 0.000000000000000e+00, 2.431136658145124e+06, 9.724546632580494e+05, 2.874725909012736e+02, 0.000000000000000e+00, 4.050803030798972e-02, 1.000000000000000e+01, 0.000000000000000e+00, 4.213082439050300e-10, 3.692050545394810e+05, 1.816634881492424e-05
891, 0.000000000000000e+00, 8.437500000000000e-01, 1.172546840206826e+01, 0.000000000000000e+00, 0.000000000000000e+00, 2.413443122158908e+06, 9.653772488635629e+05, 2.868698868657884e+02, 0.000000000000000e+00, -9.994848141304314e-01, 1.000000000000000e+01, 0.000000000000000e+00, -9.492149632755420e-09, 5.019011474637362e+05, 8.600417749349741e-05
923, 1.000000000000000e+00, 8.437500000000000e-01, 1.178666725656430e+01, 0.000000000000000e+00, 0.000000000000000e+00, 2.431136658060289e+06, 9.724546632241153e+05, 2.874725908982455e+02, 0.000000000000000e+00, 4.050802532152777e-02, 1.000000000000000e+01, 0.000000000000000e+00, -6.304457326500880e-09, 3.692050778093902e+05, 7.027349040436792e-05
924, 0.000000000000000e+00, 8.750000000000000e-01, 1.172546840004827e+01, 0.000000000000000e+00, 0.000000000000000e+00, 2.413443121564264e+06, 9.653772486257055e+05, 2.868698868445270e+02, 0.000000000000000e+00, -9.994848490824689e-01, 1.000000000000000e+01, 0.000000000000000e+00, -2.820828530161794e-07, 5.019020220175576e+05, 4.688410205588908e-04
956, 1.000000000000000e+00, 8.750000000000000e-01, 1.178666721890066e+01, 0.000000000000000e+00, 0.000000000000000e+00, 2.431136647226347e+06, 9.724546588905387e+05, 2.874725905357761e+02, 0.000000000000000e+00, 4.050738852278492e-02, 1.000000000000000e+01, 0.000000000000000e+00, -2.129423125951672e-07, 3.692058964838650e+05, 4.084121491810235e-04
957, 0.000000000000000e+00, 9.062500000000000e-01, 1.172546842448067e+01, 0.000000000000000e+00, 0.000000000000000e+00, 2.413443128998642e+06, 9.653772515994568e+05, 2.868698871304503e+02, 0.000000000000000e+00, -9.994844121036683e-01, 1.000000000000000e+01, 0.000000000000000e+00, 3.076642575183585e-06, 5.018914021488353e+05, 1.548373686355127e-03
989, 1.000000000000000e+00, 9.062500000000000e-01, 1.178666764140845e+01, 0.000000000000000e+00, 0.000000000000000e+00, 2.431136773761202e+06, 9.724547095044806e+05, 2.874725951932238e+02, 0.000000000000000e+00, 4.051482600410602e-02, 1.000000000000000e+01, 0.000000000000000e+00, 1.189506621403217e-06, 3.691996294904012e+05, 9.652751131695447e-04
990, 0.000000000000000e+00, 9.375000000000000e-01, 1.172547045119863e+01, 0.000000000000000e+00, 0.000000000000000e+00, 2.413443726023914e+06, 9.653774904095653e+05, 2.868699085101143e+02, 0.000000000000000e+00, -9.994493200785041e-01, 1.000000000000000e+01, 0.000000000000000e+00, 1.668528511602382e-05, 5.014259249855801e+05, 3.605820579017512e-03
1022, 1.000000000000000e+00, 9.375000000000000e-01, 1.178672802821731e+01, 0.000000000000000e+00, 0.000000000000000e+00, 2.431154180621757e+06, 9.724616722487024e+05, 2.874731806720907e+02, 0.000000000000000e+00, 4.153796860459547e-02, 1.000000000000000e+01, 0.000000000000000e+00, -3.576774065560004e-05, 3.686417595397629e+05, 5.293154173085228e-03
1023, 0.000000000000000e+00, 9.687500000000000e-01, 1.172549109435515e+01, 0.000000000000000e+00, 0.000000000000000e+00, 2.413439302884180e+06, 9.653757211536716e+05, 2.868688777170321e+02, 0.000000000000000e+00, -9.997093039323270e-01, 1.000000000000000e+01, 0.000000000000000e+00, -3.255804932571256e-04, 5.034422140272954e+05, 1.592820613831901e-02
1055, 1.000000000000000e+00, 9.687500000000000e-01, 1.178647329099956e+01, 0.000000000000000e+00, 0.000000000000000e+00, 2.431063861992443e+06, 9.724255447969771e+05, 2.874687137290777e+02, 0.000000000000000e+00, 3.622920905091145e-02, 1.000000000000000e+01, 0.000000000000000e+00, 5.204200080977765e-04, 3.710675413793479e+05, 2.019022177367173e-02
1056, 0.000000000000000e+00, 1.000000000000000e+00, 1.175309396513208e+01, 0.000000000000000e+00, 0.000000000000000e+00, 2.413249757082907e+06, 9.652999028331625e+05, 2.861726712612166e+02, 0.000000000000000e+00, -1.010850450460118e+00, 1.000000000000000e+01, 0.000000000000000e+00, 0.000000000000000e+00, 3.108175043851673e+05, 0.000000000000000e+00
1057, 3.125000000000000e-02, 1.000000000000000e+00, 1.175552556931498e+01, 0.000000000000000e+00, 0.000000000000000e+00, 2.422069445729641e+06, 9.688277782918562e+05, 2.871591342017418e+02, 0.000000000000000e+00, -4.924457014080318e-01, 1.000000000000000e+01, 1.579632561381916e+00, 0.000000000000000e+00, 3.738588189646818e+05, 1.110890422452237e+00
1058, 6.250000000000000e-02, 1.000000000000000e+00, 1.175573210227739e+01, 0.000000000000000e+00, 0.000000000000000e+00, 2.422143030035140e+06, 9.688572120140557e+05, 2.871628131471531e+02, 0.000000000000000e+00, -4.881205540072325e-01, 1.000000000000000e+01, 1.602166205471680e+00, 0.000000000000000e+00, 4.585653570272711e+05, 1.118795683975938e+00
1059, 9.375000000000000e-02, 1.000000000000000e+00, 1.175568180879520e+01, 0.000000000000000e+00, 0.000000000000000e+00, 2.422128524969282e+06, 9.688514099877127e+05, 2.871623220057689e+02, 0.000000000000000e+00, -4.889731345604656e-01, 1.000000000000000e+01, 1.596766532013088e+00, 0.000000000000000e+00, 4.421221279492670e+05, 1.116906402548532e+00
1060, 1.250000000000000e-01, 1.000000000000000e+00, 1.175568106167024e+01, 0.000000000000000e+00, 0.000000000000000e+00, 2.422128302115216e+06, 9.688513208460860e+05, 2.871623138350928e+02, 0.000000000000000e+00, -4.889862335043411e-01, 1.000000000000000e+01, 1.596581198235738e+00, 0.000000000000000e+00, 4.415213399102883e+05, 1.116841546533572e+00
1061, 1.562500000000000e-01, 1.000000000000000e+00, 1.175568112696233e+01, 0.000000000000000e+00, 0.000000000000000e+00, 2.422128321103124e+06, 9.688513284412493e+05, 2.871623144913335e+02, 0.000000000000000e+00, -4.889851174307231e-01, 1.000000000000000e+01, 1.596596216920184e+00, 0.000000000000000e+00, 4.415687422104038e+05, 1.116846802562841e+00
1062, 1.875000000000000e-01, 1.000000000000000e+00, 1.175568112844894e+01, 0.000000000000000e+00, 0.000000000000000e+00, 2.422128321547496e+06, 9.688513286189981e+05, 2.871623145077029e+02, 0.000000000000000e+00, -4.889850913113805e-01, 1.000000000000000e+01, 1.596596767377926e+00, 0.000000000000000e+00, 4.415705237067257e+05, 1.116846995160821e+00
1063, 2.187500000000000e-01, 1.000000000000000e+00, 1.175568112837878e+01, 0.000000000000000e+00, 0.000000000000000e+00, 2.422128321526879e+06, 9.688513286107515e+05, 2.871623145069727e+02, 0.000000000000000e+00, -4.889850925231667e-01, 1.000000000000000e+01, 1.596596743188861e+00, 0.000000000000000e+00, 4.415704472786661e+05, 1.116846986697154e+00
1064, 2.500000000000000e-01, 1.000000000000000e+00, 1.175568112837670e+01, 0.000000000000000e+00, 0.000000000000000e+00, 2.422128321526257e+06, 9.688513286105025e+05, 2.871623145069496e+02, 0.000000000000000e+00, -4.889850925597580e-01, 1.000000000000000e+01, 1.596596742254380e+00, 0.000000000000000e+00, 4.415704442627617e+05, 1.116846986370212e+00
1065, 2.812500000000000e-01, 1.000000000000000e+00, 1.175568112837676e+01, 0.000000000000000e+00, 0.000000000000000e+00, 2.422128321526274e+06, 9.688513286105094e+05, 2.871623145069501e+02, 0.000000000000000e+00, -4.889850925587487e-01, 1.000000000000000e+01, 1.596596742278852e+00, 0.000000000000000e+00, 4.415704443400614e+05, 1.116846986378774e+00
1066, 3.125000000000000e-01, 1.000000000000000e+00, 1.175568112837676e+01, 0.000000000000000e+00, 0.000000000000000e+00, 2.422128321526275e+06, 9.688513286105098e+05, 2.871623145069502e+02, 0.000000000000000e+00, -4.889850925586973e-01, 1.000000000000000e+01, 1.596596742279873e+00, 0.000000000000000e+00, 4.415704443433604e+05, 1.116846986379131e+00
1067, 3.437500000000000e-01, 1.000000000000000e+00, 1.175568112837676e+01, 0.000000000000000e+00, 0.000000000000000e+00, 2.422128321526275e+06, 9.688513286105098e+05, 2.871623145069502e+02, 0.000000000000000e+00, -4.889850925586973e-01, 1.000000000000000e+01, 1.596596742279857e+00, 0.000000000000000e+00, 4.415704443432589e+05, 1.116846986379126e+00
1068, 3.750000000000000e-01, 1.000000000000000e+00, 1.175568112837676e+01, 0.000000000000000e+00, 0.000000000000000e+00, 2.422128321526275e+06, 9.688513286105098e+05, 2.871623145069502e+02, 0.000000000000000e+00, -4.889850925586973e-01, 1.000000000000000e+01, 1.596596742279856e+00, 0.000000000000000e+00, 4.415704443432589e+05, 1.116846986379126e+00
1069, 4.062500000000000e-01, 1.000000000000000e+00, 1.175568112837676e+01, 0.000000000000000e+00, 0.000000000000000e+00, 2.422128321526275e+06, 9.688513286105098e+05, 2.871623145069502e+02, 0.000000000000000e+00, -4.889850925586973e-01, 1.000000000000000e+01, 1.596596742279856e+00, 0.000000000000000e+00, 4.415704443432589e+05, 1.116846986379126e+00
1070, 4.375000000000000e-01, 1.000000000000000e+00, 1.175568112837676e+01, 0.000000000000000e+00, 0.000000000000000e+00, 2.422128321526275e+06, 9.688513286105098e+05, 2.871623145069502e+02, 0.000000000000000e+00, -4.889850925586973e-01, 1.000000000000000e+01, 1.596596742279856e+00, 0.000000000000000e+00, 4.415704443432589e+05, 1.116846986379126e+00
1071, 4.687500000000000e-01, 1.000000000000000e+00, 1.175568112837676e+01, 0.000000000000000e+00, 0.000000000000000e+00, 2.422128321526275e+06, 9.688513286105098e+05, 2.871623145069502e+02, 0.000000000000000e+00, -4.889850925586973e-01, 1.000000000000000e+01, 1.596596742279856e+00, 0.000000000000000e+00, 4.415704443432589e+05, 1.116846986379126e+00
1072, 5.000000000000000e-01, 1.000000000000000e+00, 1.175568112837676e+01, 0.000000000000000e+00, 0.000000000000000e+00, 2.422128321526275e+06, 9.688513286105098e+05, 2.871623145069502e+02, 0.000000000000000e+00, -4.889850925586973e-01, 1.000000000000000e+01, 1.596596742279856e+00, 0.000000000000000e+00, 4.415704443432589e+05, 1.116846986379126e+00
1073, 5.312500000000000e-01, 1.000000000000000e+00, 1.175568112837676e+01, 0.000000000000000e+00, 0.000000000000000e+00, 2.422128321526275e+06, 9.688513286105098e+05, 2.871623145069502e+02, 0.000000000000000e+00, -4.889850925586973e-01, 1.000000000000000e+01, 1.596596742279856e+00, 0.000000000000000e+00, 4.415704443432589e+05, 1.116846986379126e+00
1074, 5.625000000000000e-01, 1.000000000000000e+00, 1.175568112837676e+01, 0.000000000000000e+00, 0.000000000000000e+00, 2.422128321526275e+06, 9.688513286105098e+05, 2.871623145069502e+02, 0.000000000000000e+00, -4.889850925586973e-01, 1.000000000000000e+01, 1.596596742279856e+00, 0.000000000000000e+00, 4.415704443432589e+05, 1.116846986379126e+00
1075, 5.937500000000000e-01, 1.000000000000000e+00, 1.175568112837676e+01, 0.000000000000000e+00, 0.000000000000000e+00, 2.422128321526275e+06, 9.688513286105098e+05, 2.871623145069502e+02, 0.000000000000000e+00, -4.889850925586973e-01, 1.000000000000000e+01, 1.596596742279856e+00, 0.000000000000000e+00, 4.415704443432589e+05, 1.116846986379126e+00
1076, 6.250000000000000e-01, 1.000000000000000e+00, 1.175568112837676e+01, 0.000000000000000e+00, 0.000000000000000e+00, 2.422128321526275e+06, 9.688513286105098e+05, 2.871623145069502e+02, 0.000000000000000e+00, -4.889850925586973e-01, 1.000000000000000e+01, 1.596596742279856e+00, 0.000000000000000e+00, 4.415704443432589e+05, 1.116846986379126e+00
1077, 6.562500000000000e-01, 1.000000000000000e+00, 1.175568112837676e+01, 0.000000000000000e+00, 0.000000000000000e+00, 2.422128321526275e+06, 9.688513286105098e+05, 2.871623145069502e+02, 0.000000000000000e+00, -4.889850925586973e-01, 1.000000000000000e+01, 1.596596742279856e+00, 0.000000000000000e+00, 4.415704443432589e+05, 1.116846986379126e+00
1078, 6.875000000000000e-01, 1.000000000000000e+00, 1.175568112837676e+01, 0.000000000000000e+00, 0.000000000000000e+00, 2.422128321526275e+06, 9.688513286105098e+05, 2.871623145069502e+02, 0.000000000000000e+00, -4.889850925586973e-01, 1.000000000000000e+01, 1.596596742279863e+00, 0.000000000000000e+00, 4.415704443432589e+05, 1.116846986379128e+00
1079, 7.187500000000000e-01, 1.000000000000000e+00, 1.175568112837677e+01, 0.000000000000000e+00, 0.000000000000000e+00, 2.422128321526275e+06, 9.688513286105096e+05, 2.871623145069501e+02, 0.000000000000000e+00, -4.889850925587145e-01, 1.000000000000000e+01, 1.596596742279466e+00, 0.000000000000000e+00, 4.415704443446547e+05, 1.116846986378989e+00
1080, 7.500000000000000e-01, 1.000000000000000e+00, 1.175568112837679e+01, 0.000000000000000e+00, 0.000000000000000e+00, 2.422128321526283e+06, 9.688513286105129e+05, 2.871623145069505e+02, 0.000000000000000e+00, -4.889850925582355e-01, 1.000000000000000e+01, 1.596596742267389e+00, 0.000000000000000e+00, 4.415704443827969e+05, 1.116846986374767e+00
1081, 7.812500000000000e-01, 1.000000000000000e+00, 1.175568112837585e+01, 0.000000000000000e+00, 0.000000000000000e+00, 2.422128321526005e+06, 9.688513286104017e+05, 2.871623145069404e+02, 0.000000000000000e+00, -4.889850925745723e-01, 1.000000000000000e+01, 1.596596742707359e+00, 0.000000000000000e+00, 4.415704429621431e+05, 1.116846986528605e+00
1082, 8.125000000000000e-01, 1.000000000000000e+00, 1.175568112834551e+01, 0.000000000000000e+00, 0.000000000000000e+00, 2.422128321517253e+06, 9.688513286069009e+05, 2.871623145066440e+02, 0.000000000000000e+00, -4.889850930890046e-01, 1.000000000000000e+01, 1.596596756752510e+00, 0.000000000000000e+00, 4.415703984373686e+05, 1.116846991439577e+00
1083, 8.437500000000000e-01, 1.000000000000000e+00, 1.175568112899931e+01, 0.000000000000000e+00, 0.000000000000000e+00, 2.422128321707997e+06, 9.688513286831988e+05, 2.871623145132876e+02, 0.000000000000000e+00, -4.889850818773856e-01, 1.000000000000000e+01, 1.596596442126909e+00, 0.000000000000000e+00, 4.415714182904947e+05, 1.116846881427609e+00
1084, 8.750000000000000e-01, 1.000000000000000e+00, 1.175568114260913e+01, 0.000000000000000e+00, 0.000000000000000e+00, 2.422128325547341e+06, 9.688513302189362e+05, 2.871623146360176e+02, 0.000000000000000e+00, -4.889848562079758e-01, 1.000000000000000e+01, 1.596586115818673e+00, 0.000000000000000e+00, 4.416042115426882e+05, 1.116843270352479e+00
1085, 9.062500000000000e-01, 1.000000000000000e+00, 1.175568097254284e+01, 0.000000000000000e+00, 0.000000000000000e+00, 2.422128278073001e+06, 9.688513112292002e+05, 2.871623131618623e+02, 0.000000000000000e+00, -4.889876466605956e-01, 1.000000000000000e+01, 1.596715419046939e+00, 0.000000000000000e+00, 4.411826696948686e+05, 1.116888486428812e+00
1086, 9.375000000000000e-01, 1.000000000000000e+00, 1.175569470314593e+01, 0.000000000000000e+00, 0.000000000000000e+00, 2.422132358436565e+06, 9.688529433746258e+05, 2.871624615160139e+02, 0.000000000000000e+00, -4.887478105468640e-01, 1.000000000000000e+01, 1.600951829240789e+00, 0.000000000000000e+00, 4.272548084642749e+05, 1.118369824026415e+00
1087, 9.687500000000000e-01, 1.000000000000000e+00, 1.175566801769686e+01, 0.000000000000000e+00, 0.000000000000000e+00, 2.422111407615915e+06, 9.688445630463659e+05, 2.871606294899003e+02, 0.000000000000000e+00, -4.899792604717302e-01, 1.000000000000000e+01, 1.582966062399557e+00, 0.000000000000000e+00, 5.086100383810126e+05, 1.112068699307017e+00
1088, 1.000000000000000e+00, 1.000000000000000e+00, 1.175847680967473e+01, 0.000000000000000e+00, 0.000000000000000e+00, 2.414797659445575e+06, 9.659190637782295e+05, 2.862251382786311e+02, 0.000000000000000e+00, -9.198676541260333e-01, 1.000000000000000e+01, 0.000000000000000e+00, 0.000000000000000e+00, 5.551873510994072e+05, 0.000000000000000e+00
